Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;7.41;100.00%;3;4170
/data/project/lib/src;6.66;89.99%;3;3985
/data/project/lib/src/commonMain;3.63;48.96%;3;2851
/data/project/lib/src/commonMain/kotlin/ai/solace/core;3.63;48.95%;3;2844
/data/project/lib/src/commonMain/kotlin/ai/solace/core/storage;1.84;24.85%;2;1513
/data/project/lib/src/commonMain/kotlin/ai/solace/core/storage/cache;0.37;4.93%;0;251
/data/project/lib/src/commonMain/kotlin/ai/solace/core/storage/serialization;0.27;3.59%;0;321
/data/project/lib/src/commonMain/kotlin/ai/solace/core/storage/recovery;0.18;2.38%;0;187
/data/project/lib/src/commonMain/kotlin/ai/solace/core/actor;1.09;14.68%;1;512
/data/project/lib/src/commonMain/kotlin/ai/solace/core/actor/examples;0.24;3.19%;0;130
/data/project/lib/src/commonMain/kotlin/ai/solace/core/actor/metrics;0.23;3.12%;0;61
/data/project/lib/src/commonMain/kotlin/ai/solace/core/actor/supervisor;0.13;1.71%;0;60
/data/project/lib/src/commonMain/kotlin/ai/solace/core/actor/builder;0.10;1.40%;0;63
/data/project/lib/src/commonMain/kotlin/ai/solace/core/kernel/channels/ports;0.27;3.62%;0;245
/data/project/lib/src/commonMain/kotlin/ai/solace/core/workflow;0.26;3.49%;0;65
/data/project/lib/src/commonMain/kotlin/ai/solace/core/scripting;0.13;1.73%;0;381
/data/project/lib/src/commonMain/kotlin/ai/solace/core/lifecycle;0.04;0.59%;0;128
/data/project/lib/src/commonMain/resources;0.00;0.01%;0;7
/data/project/lib/src/commonMain/resources/openapi;0.00;0.00%;0;1
/data/project/lib/src/jvmMain/kotlin/ai/solace/core;3.04;41.03%;0;1134
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/storage;2.04;27.49%;0;757
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/storage/compression;0.54;7.27%;0;192
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/storage/encryption;0.40;5.44%;0;188
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/storage/serialization;0.02;0.26%;0;61
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/scripting;0.99;13.39%;0;316
/data/project/lib/src/jvmMain/kotlin/ai/solace/core/util;0.01;0.14%;0;61
/data/project/qodana-results/log;0.00;0.07%;0;20
/data/project/gradle;0.00;0.00%;0;2
/data/project/gradle/wrapper;0.00;0.00%;0;1