wiki_article,source_path,start_line,end_line,last_processed_line,status,source_action,notes
Documentation-Index,docs/README.md,1,95,95,complete,remove_source,"Source file copied directly into Documentation Index."
Architecture-Overview,docs/ARCHITECTURE_READING_GUIDE.md,1,76,76,complete,remove_source,"Recommended reading path consolidated into the topic map and cross-links."
Architecture-Overview,docs/architecture/README.md,1,45,45,complete,remove_source,"Rosetta section index and cross-reference model consolidated into the architecture overview."
Architecture-Overview,docs/architecture/12-system-architecture-overview.md,1,45,45,complete,remove_source,"Source file appended directly into Architecture Overview."
Vision-and-Solace-AI,docs/architecture/00-solace-project-context.md,1,52,52,complete_split,remove_source,"Vision objectives and requirements moved into the orientation vision page."
Solace-AI-Overview,docs/architecture/00-solace-project-context.md,54,140,140,complete_split,remove_source,"Companion components and conceptual workflow moved into Solace AI overview."
Vision-and-Solace-AI,docs/architecture/00-solace-project-context.md,141,169,169,complete_split,remove_source,"Guiding principles moved into the orientation vision page."
Architecture-Overview,docs/architecture/00-solace-project-context.md,172,240,240,complete_split,remove_source,"Runtime component graph and component overview moved into architecture overview."
Kernel-and-Ports,docs/components/kernel/README.md,1,102,102,complete,remove_source,"Kernel overview and design principles moved into Kernel & Ports."
Kernel-and-Ports,docs/components/kernel/channel_system.md,1,261,261,complete,remove_source,"Channel abstractions routing semantics exception model and future work moved into Kernel & Ports."
Architecture-Overview,docs/components/kernel/system_architecture.md,1,77,77,complete,remove_source,"System component graph already represented in Architecture Overview runtime graph."
Actor-System,docs/components/actor_system/README.md,1,69,69,complete_split,remove_source,"Source range copied directly into Actor System."
Supervisor-and-Hot-Swap,docs/components/actor_system/README.md,70,82,82,complete_split,remove_source,"Source range copied directly into Supervisor & Hot-Swap."
Actor-System,docs/components/actor_system/README.md,83,89,89,complete_split,remove_source,"Source range copied directly into Actor System."
Actor-Communication-Sequence,docs/components/actor_system/actor_communication_sequence.md,1,63,63,complete,remove_source,"Source file copied directly into its own wiki diagram page."
Actor-System-Class-Diagram,docs/components/actor_system/actor_system_class_diagram.md,1,132,132,complete,remove_source,"Source file copied directly into its own wiki diagram page."
SupervisorActor,docs/components/actor_system/SupervisorActor.md,1,128,128,complete,remove_source,"Source file copied directly into its own wiki design page."
Workflow-Orchestration,docs/components/actor_system/Workflow_Management_Design.md,1,29,29,complete,remove_source,"Source file copied directly into Workflow Orchestration."
Mood-and-Emotional-Model,docs/components/actor_system/SupervisorAI_EmotionalModel.md,1,114,114,complete,remove_source,"Source file copied directly into Mood & Emotional Model."
Lifecycle-and-Resources,docs/components/lifecycle/README.md,1,107,107,complete,remove_source,"Source file copied directly into Lifecycle & Resources."
Lifecycle-Class-Diagram,docs/components/lifecycle/lifecycle_class_diagram.md,1,65,65,complete,remove_source,"Source file copied directly into its own wiki diagram page."
Workflow-Orchestration,docs/components/workflow/README.md,1,60,60,complete,remove_source,"Source file appended directly into Workflow Orchestration."
Workflow-Orchestration,docs/components/workflow/Workflow_Management_Design.md,1,56,56,complete,remove_source,"Source file appended directly into Workflow Orchestration."
Scripting-Engine,docs/components/scripting/Scripting_Module_Design.md,1,96,96,complete,remove_source,"Source file copied directly into Scripting Engine."
Mood-and-Emotional-Model,docs/components/mood/README.md,1,110,110,complete,remove_source,"Source file appended directly into Mood & Emotional Model."
Memory-and-Reflection,docs/components/memory/MemoryToolDesign.md,1,272,272,complete_split,remove_source,"Core SRAF and Kotlin memory-tool source range copied directly into Memory & Reflection."
Perception-Actors,docs/components/memory/MemoryToolDesign.md,273,424,424,complete_split,remove_source,"Multimodal perception addendum copied directly into Perception Actors."
Voice-and-Mouth-Tool,docs/components/memory/MemoryToolDesign.md,425,562,562,complete_split,remove_source,"Mouth Tool extension addendum copied directly into Voice & Mouth Tool."
Zoom-Levels,docs/components/memory/MemoryToolDesign.md,563,752,752,complete_split,remove_source,"Zoom control addendum copied directly into Zoom Levels."
Inference-Cube,docs/components/actor_inference_engine/InferenceCubeArchitecture.md,1,138,138,complete,remove_source,"Source file copied directly into Inference Cube."
Inference-Cube,docs/components/actor_inference_engine/liquid-neural-networks-hybrid-transformer.ipynb,1,1017,1017,complete_move,remove_source,"Notebook moved unchanged into wiki/notebooks/."
Memory-Feature-Overview,docs/features/memory/README.md,1,256,256,complete,remove_source,"Source file copied directly into Memory Feature Overview."
Working-Memory,docs/features/memory/working-memory.md,1,173,173,complete,remove_source,"Source file copied directly into Working Memory."
Long-Term-Memory,docs/features/memory/long-term-memory.md,1,198,198,complete,remove_source,"Source file copied directly into Long-Term Memory."
Memory-Retrieval,docs/features/memory/retrieval.md,1,215,215,complete,remove_source,"Source file copied directly into Memory Retrieval."
Memory-Compression,docs/features/memory/compression.md,1,237,237,complete,remove_source,"Source file copied directly into Memory Compression."
Reflection-Memory,docs/features/reflection-memory/README.md,1,288,288,complete,remove_source,"Source file copied directly into Reflection Memory."
Shared-Memory,docs/features/shared-memory/README.md,1,332,332,complete,remove_source,"Source file copied directly into Shared Memory."
Confusion-Corrector,docs/features/confusion-corrector/README.md,1,255,255,complete,remove_source,"Source file copied directly into Confusion Corrector."
Multimodal-Nudging,docs/features/multimodal-nudging/README.md,1,329,329,complete,remove_source,"Source file copied directly into Multimodal Nudging."
Time-Actor,docs/features/time-actor/README.md,1,273,273,complete,remove_source,"Source file copied directly into Time Actor."
Zoom-Levels,docs/features/zoom-levels/README.md,1,333,333,complete,remove_source,"Source file appended directly into Zoom Levels."
Mood-and-Emotional-Model,docs/features/mood/README.md,1,327,327,complete,remove_source,"Source file appended directly into Mood & Emotional Model."
Voice-and-Mouth-Tool,docs/features/mouth-tool/README.md,1,299,299,complete,remove_source,"Source file appended directly into Voice & Mouth Tool."
Inference-Cube,docs/features/inference-cube/README.md,1,376,376,complete,remove_source,"Source file appended directly into Inference Cube."
Supervisor-AI,docs/features/supervisor/README.md,1,310,310,complete,remove_source,"Source file copied directly into Supervisor AI."
Feature-Index,docs/features/README.md,1,75,75,complete,remove_source,"Source file copied directly into Feature Index."
Providers-and-MCP-Tools,docs/features/providers/README.md,1,398,398,complete,remove_source,"Source file appended directly into Providers & MCP Tools."
Providers-and-MCP-Tools,docs/features/mcp-tools/README.md,1,336,336,complete,remove_source,"Source file appended directly into Providers & MCP Tools."
Pipeline-DSL,docs/features/pipeline/README.md,1,345,345,complete,remove_source,"Source file copied directly into Pipeline DSL."
Status-Documentation,docs/status/README.md,1,184,184,complete,remove_source,"Source file copied directly into Status Documentation."
Quick-Status,docs/status/QUICK_STATUS.md,1,124,124,complete,remove_source,"Source file copied directly into Quick Status."
Project-Status-Report,docs/status/PROJECT_STATUS.md,1,418,418,complete,remove_source,"Source file copied directly into Project Status Report."
Design-vs-Implementation,docs/status/DESIGN_VS_IMPLEMENTATION.md,1,278,278,complete,remove_source,"Source file copied directly into Design vs Implementation."
Roadmap,docs/status/IMPLEMENTATION_ROADMAP.md,1,696,696,complete,remove_source,"Source file copied directly into Roadmap."
Roadmap-Issues,docs/status/ROADMAP_ISSUES_README.md,1,219,219,complete,remove_source,"Source file copied directly into Roadmap Issues."
Roadmap-Issues,docs/status/roadmap_issues.json,1,248,248,complete_move,remove_source,"JSON file moved unchanged into wiki/."
Task-Documentation,docs/tasks/README.md,1,39,39,complete,remove_source,"Source file copied directly into Task Documentation."
Task-1-Core-Tests,docs/tasks/task1.md,1,9,9,complete,remove_source,"Source file copied directly into Task 1 Core Tests."
Task-2-Connection-Wiring,docs/tasks/task2.md,1,10,10,complete,remove_source,"Source file copied directly into Task 2 Connection Wiring."
Task-3-Concurrency-Issues,docs/tasks/task3.md,1,11,11,complete,remove_source,"Source file copied directly into Task 3 Concurrency Issues."
Task-4-Dynamic-Registration,docs/tasks/task4.md,1,10,10,complete,remove_source,"Source file copied directly into Task 4 Dynamic Registration."
Task-5-Integration-Tests,docs/tasks/task5.md,1,23,23,complete,remove_source,"Source file copied directly into Task 5 Integration Tests."
Task-6-Deadlock-Detection,docs/tasks/task6.md,1,29,29,complete,remove_source,"Source file copied directly into Task 6 Deadlock Detection."
Basic-Actor-Usage,docs/examples/Basic_Actor_Usage.md,1,20,20,complete,remove_source,"Source file copied directly into Basic Actor Usage."
Advanced-Workflow-Example,docs/examples/advanced_workflow_example.md,1,30,30,complete,remove_source,"Source file copied directly into Advanced Workflow Example."
Compose-App-Features,docs/COMPOSE_APP_FEATURES.md,1,129,129,complete,remove_source,"Source file copied directly into Compose App Features."
Real-Time-UI-Implementation,docs/REAL_TIME_UI_IMPLEMENTATION.md,1,132,132,complete,remove_source,"Source file copied directly into Real-Time UI Implementation."
Actor-Graph-View,docs/ACTOR_GRAPH_VIEW.md,1,144,144,complete,remove_source,"Source file copied directly into Actor Graph View."
Storage-and-Persistence,docs/STORAGE_DOCUMENTATION.md,1,753,753,complete,remove_source,"Source file copied directly into Storage & Persistence."
Storage-and-Persistence,docs/STORAGE_CHECKLIST.md,1,151,151,complete,remove_source,"Source file appended directly into Storage & Persistence."
Setup-Instructions,docs/SETUP.md,1,8,8,complete,remove_source,"Source file copied directly into Setup Instructions."
Master-Checklist,docs/MASTER_CHECKLIST.md,1,595,595,complete,remove_source,"Source file copied directly into Master Checklist."
Test-Coverage-Checklist,docs/Test_Coverage_Checklist.md,1,163,163,complete,remove_source,"Source file copied directly into Test Coverage Checklist."
LangChain-Code-Changes,docs/CODE_CHANGES.md,1,376,376,complete,remove_source,"Source file copied directly into LangChain Code Changes."
LangChain-Patterns,docs/langchain-patterns.md,1,341,341,complete,remove_source,"Source file copied directly into LangChain Patterns."
LangChain-Chain-Implementation,docs/chain-implementation.md,1,230,230,complete,remove_source,"Source file copied directly into LangChain Chain Implementation."
LangChain-Recommendations,docs/RECOMMENDATIONS_LANGCHAIN.md,1,380,380,complete,remove_source,"Source file copied directly into LangChain Recommendations."
LangChain-Type-Safe-Dynamic-Wiring,docs/notes/langchain/BE_MORE_LIKE_LANGCHAIN_HERE.md,1,370,370,complete,remove_source,"Source file copied directly into LangChain Type-Safe Dynamic Wiring."
LangChain-Bugs,docs/notes/langchain/BUGS.md,1,100,100,complete,remove_source,"Source file copied directly into LangChain Bugs."
LangChain-Fix-Proposal,docs/notes/langchain/FIX_PROPOSAL.md,1,314,314,complete,remove_source,"Source file copied directly into LangChain Fix Proposal."
LangChain-Usage-Design-Improvements,docs/notes/langchain/USAGE_DESIGN_IMPROVEMENTS.md,1,395,395,complete,remove_source,"Source file copied directly into LangChain Usage Design Improvements."
Kernel-and-Ports,docs/architecture/01-kernel-module.md,1,316,316,complete,remove_source,"Source file appended directly into Kernel & Ports."
Lifecycle-and-Resources,docs/architecture/02-lifecycle-module-io-github-solaceharmony-core-lifecycle.md,1,134,134,complete,remove_source,"Source file appended directly into Lifecycle & Resources."
Storage-and-Persistence,docs/architecture/03-storage-module-io-github-solaceharmony-core-storage.md,1,900,900,complete,remove_source,"Source file appended directly into Storage & Persistence."
Actor-System,docs/architecture/04-actor-module-io-github-solaceharmony-core-actor.md,1,417,417,complete,remove_source,"Source file appended directly into Actor System."
Workflow-Orchestration,docs/architecture/05-workflow-module-io-github-solaceharmony-core-workflow.md,1,10,10,complete,remove_source,"Source file appended directly into Workflow Orchestration."
Scripting-Engine,docs/architecture/06-scripting-module-io-github-solaceharmony-core-scripting.md,1,326,326,complete,remove_source,"Source file appended directly into Scripting Engine."
Build-System-and-Dependencies,docs/architecture/07-build-system-and-dependencies.md,1,65,65,complete,remove_source,"Source file copied directly into Build System and Dependencies."
Development-Tooling-and-Practices,docs/architecture/08-development-tooling-and-practices.md,1,28,28,complete,remove_source,"Source file copied directly into Development Tooling and Practices."
JVM-Utilities,docs/architecture/09-jvm-specific-utilities-io-github-solaceharmony-core-util.md,1,45,45,complete,remove_source,"Source file copied directly into JVM Utilities."
Testing-Strategy,docs/architecture/10-testing-strategy-jvm-target.md,1,55,55,complete,remove_source,"Source file copied directly into Testing Strategy."
Vision-and-Solace-AI,docs/architecture/11-architectural-vision.md,1,29,29,complete,remove_source,"Source file appended directly into Vision & Solace AI."
Storage-and-Persistence,docs/architecture/13-storage-thread-safety-and-deadlock-prevention.md,1,82,82,complete,remove_source,"Source file appended directly into Storage & Persistence."
Inference-Cube,docs/architecture/14-inferencecube-architecture.md,1,47,47,complete,remove_source,"Source file appended directly into Inference Cube."
SolaceCore-Architecture-Overview,docs/architecture.md,1,268,268,complete,remove_source,"Source file copied directly into SolaceCore Architecture Overview."
Architectural-Deep-Dive,docs/Architectural_Deepdive.md,1,9,9,complete,remove_source,"Source file copied directly into Architectural Deep Dive with wiki link repair."
Solace-Core-Framework-Architecture,docs/Architectural_Document_Solace_Core_Framework.md,1,576,576,complete,remove_source,"Source file copied directly into Solace Core Framework Architecture."
System-Architecture-Diagram,docs/diagrams/system_architecture.md,1,77,77,complete,remove_source,"Source file copied directly into System Architecture Diagram."
Kotlin-Aligned-Documentation,docs/kotlin-aligned-docs/README.md,1,83,83,complete,remove_source,"Source file copied directly into Kotlin-Aligned Documentation."
Kotlin-Aligned-Architecture-Overview,docs/kotlin-aligned-docs/ARCHITECTURE_OVERVIEW.md,1,408,408,complete,remove_source,"Source file copied directly into Kotlin-Aligned Architecture Overview."
Kotlin-Aligned-Implementation-Status,docs/kotlin-aligned-docs/IMPLEMENTATION_STATUS.md,1,274,274,complete,remove_source,"Source file copied directly into Kotlin-Aligned Implementation Status."
Kotlin-Aligned-Quick-Start,docs/kotlin-aligned-docs/QUICK_START_DEVELOPERS.md,1,380,380,complete,remove_source,"Source file copied directly into Kotlin-Aligned Quick Start."
Sketch-Architecture,docs/sketch-architecture/README.md,1,109,109,complete,remove_source,"Source file copied directly into Sketch Architecture."
Sketch-Architecture,docs/sketch-architecture/ArchitectureClarificationMCP.kt,1,244,244,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ArchitectureOverview.kt,1,182,182,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ArchitectureReview.kt,1,320,320,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ComponentsOverview.kt,1,295,295,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ConfigTemplates.kt,1,260,260,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/CoroutineSharedMemory.kt,1,318,318,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ImplementationStatus.kt,1,178,178,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/MoodTransparencyExperiment.kt,1,356,356,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/NeutralHistoryCompletionStatus.kt,1,264,264,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/ProviderSpecs.kt,1,307,307,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Sketch-Architecture,docs/sketch-architecture/QuickStartDevelopers.kt,1,261,261,complete_move,remove_source,"Kotlin plan moved unchanged into wiki/sketch-architecture/."
Storage-Checklist,wiki/Storage-and-Persistence.md,768,924,157,complete_split,link_from_source,"Extracted embedded storage checklist into its own topical wiki page."
Storage-Thread-Safety-and-Deadlock-Prevention,wiki/Storage-and-Persistence.md,1672,1753,82,complete_split,link_from_source,"Extracted storage thread-safety appendix into its own topical wiki page."
Solace-Core-Framework-Architecture,wiki/Solace-Core-Framework-Architecture.md,361,570,210,complete_deduplicate,link_to_topics,"Replaced duplicated Appendix A Mermaid diagrams with links to standalone diagram pages."
Project-Status,wiki/Project-Status.md,14,845,832,complete_deduplicate,generated_index,"Changed generated Project Status from embedded source aggregation to a link index of standalone status pages."
Storage-Module-Architecture,wiki/Storage-and-Persistence.md,774,1670,897,complete_split,link_from_source,"Extracted storage module architecture deep dive into its own topical wiki page."
MCP-and-Tool-Format,wiki/Providers-and-MCP-Tools.md,421,756,336,complete_split,link_from_source,"Extracted MCP and tool-format boundary article into its own Solace AI topic page."
Zoom-Level-Technical-Spec,wiki/Zoom-Levels.md,4,194,191,complete_split,link_from_source,"Extracted formal Addendum C zoom mechanism specification into its own Solace AI topic page."
Mouth-Tool-Technical-Spec,wiki/Voice-and-Mouth-Tool.md,4,148,145,complete_split,link_from_source,"Extracted formal Addendum B mouth tool expression pipeline specification into its own Solace AI topic page."
